subject_file,channel,fractal_dimension,delta_std_dev,delta_kurtosis,signal_length,zscore_fractal_dimension,zscore_delta_std_dev,zscore_delta_kurtosis
s00.csv,ch_0,0.248516,1.655554,3.574093,31000,-0.641413,1.320388,-0.394168
s00.csv,ch_1,0.312479,1.561454,5.057047,31000,0.807719,0.946634,-0.239240
s00.csv,ch_2,0.267499,1.608160,3.783688,31000,0.328473,2.043939,-0.248376
s00.csv,ch_3,0.253505,1.605384,3.364862,31000,-0.239579,2.078674,-0.241149
s00.csv,ch_4,0.280832,1.666968,5.963828,31000,0.341265,1.858294,-0.221489
s00.csv,ch_5,0.261856,1.755671,3.675193,31000,-0.151768,2.121320,-0.257979
s00.csv,ch_6,0.244819,1.618681,4.148273,31000,-0.362886,1.804261,-0.207303
s00.csv,ch_7,0.237423,1.687839,4.617635,31000,-0.694565,1.109983,-0.195355
s00.csv,ch_8,0.264703,1.513026,3.417633,31000,0.318539,1.522877,-0.292271
s00.csv,ch_9,0.256069,1.534786,3.400721,31000,0.035002,1.448065,-0.310864
s00.csv,ch_10,0.234392,1.528358,4.205243,31000,-0.969822,2.065663,-0.173685
s00.csv,ch_11,0.249632,1.617444,4.416553,31000,-0.329349,1.418811,-0.151945
s00.csv,ch_12,0.228484,1.523941,3.869083,31000,-2.141019,0.674914,-0.119624
s00.csv,ch_13,0.231407,1.634538,4.033251,31000,-0.761892,0.833317,-0.188491
s00.csv,ch_14,0.236635,1.892121,3.963196,31000,-0.619895,0.887991,-0.183085
s00.csv,ch_15,0.253560,2.441823,4.918496,31000,-0.230371,1.683315,-0.163684
s00.csv,ch_16,0.250011,1.590407,3.336016,31000,-0.531148,1.747800,-0.281489
s00.csv,ch_17,0.273102,1.645481,3.948884,31000,2.232170,1.928380,-0.053799
s00.csv,ch_18,0.235810,1.491564,3.718435,31000,-0.801598,0.487508,-0.260234
s01.csv,ch_0,0.272521,1.364045,4.498938,31000,-0.186518,0.463996,-0.320494
s01.csv,ch_1,0.259502,1.329844,3.948465,31000,-0.304254,0.221267,-0.250409
s01.csv,ch_2,0.256767,1.271401,4.334097,31000,-0.094352,0.559797,-0.202649
s01.csv,ch_3,0.271537,1.311479,3.453664,31000,0.841369,0.673721,-0.228678
s01.csv,ch_4,0.267686,1.184007,5.893274,31000,-0.017644,0.325782,-0.224514
s01.csv,ch_5,0.282093,1.183723,46.949433,31000,0.312824,0.178868,0.651242
s01.csv,ch_6,0.505295,1.651046,84.235851,31000,5.523680,1.907227,5.632173
s01.csv,ch_7,0.271465,1.222841,5.844722,31000,0.268495,0.003338,-0.118561
s01.csv,ch_8,0.253210,1.304320,6.297310,31000,-0.216486,0.647851,0.319197
s01.csv,ch_9,0.387289,1.290660,7.091803,31000,5.522952,0.455522,0.937554
s01.csv,ch_10,0.243390,1.069235,17.402492,31000,-0.620207,0.259535,1.554072
s01.csv,ch_11,0.253712,1.209876,4.232165,31000,-0.205021,0.101797,-0.187710
s01.csv,ch_12,0.271096,1.297160,8.193001,31000,1.582097,0.084469,1.232859
s01.csv,ch_13,0.365366,1.883744,85.645573,31000,2.976018,1.464656,5.680206
s01.csv,ch_14,0.259474,1.685055,6.432553,31000,0.032544,0.471944,0.075190
s01.csv,ch_15,0.495847,2.484616,1762.585145,31000,5.389989,1.761766,5.833297
s01.csv,ch_16,0.250956,1.360920,3.610834,31000,-0.447503,0.776343,-0.212829
s01.csv,ch_17,0.264899,1.307342,3.604285,31000,1.301560,0.554829,-0.245545
s01.csv,ch_18,0.377084,1.855602,15.760668,31000,4.748692,1.478591,4.349333
s02.csv,ch_0,0.216807,2.422905,3.352870,31000,-1.242300,3.574702,-0.411791
s02.csv,ch_1,0.244699,2.272205,3.121199,31000,-0.614964,3.172601,-0.258743
s02.csv,ch_2,0.244463,1.525419,3.194440,31000,-0.579129,1.679286,-0.297330
s02.csv,ch_3,0.242114,1.297549,3.231281,31000,-0.922458,0.607129,-0.259910
s02.csv,ch_4,0.224409,2.300026,3.206965,31000,-1.199154,3.867087,-0.339670
s02.csv,ch_5,0.254463,1.784186,3.349979,31000,-0.321506,2.218162,-0.264812
s02.csv,ch_6,0.234968,1.857581,3.212120,31000,-0.585527,2.564304,-0.275561
s02.csv,ch_7,0.242259,1.549610,3.241980,31000,-0.557731,0.781013,-0.281448
s02.csv,ch_8,0.270449,1.390516,3.301557,31000,0.586031,1.009238,-0.316919
s02.csv,ch_9,0.254796,1.406289,3.275430,31000,-0.018208,0.925636,-0.353241
s02.csv,ch_10,0.237035,1.743013,3.291939,31000,-0.867107,2.910090,-0.293252
s02.csv,ch_11,0.246416,1.620188,3.107585,31000,-0.427367,1.427677,-0.405841
s02.csv,ch_12,0.243893,1.571604,3.297240,31000,-0.794664,0.799011,-0.298492
s02.csv,ch_13,0.252294,1.513991,3.838148,31000,-0.179086,0.527925,-0.202521
s02.csv,ch_14,0.260955,2.428281,3.311307,31000,0.074845,1.965266,-0.251267
s02.csv,ch_15,0.246401,2.073564,3.255996,31000,-0.396452,1.008204,-0.169357
s02.csv,ch_16,0.249900,1.283679,3.399756,31000,-0.541041,0.449371,-0.265564
s02.csv,ch_17,0.252289,1.399526,3.360547,31000,-0.129113,0.929288,-0.381168
s02.csv,ch_18,0.246985,1.521076,3.394736,31000,-0.362549,0.567855,-0.384140
s03.csv,ch_0,0.268805,0.855659,3.484164,31000,-0.256952,-1.029534,-0.401332
s03.csv,ch_1,0.221815,0.862749,3.902821,31000,-1.095293,-1.241606,-0.250869
s03.csv,ch_2,0.258118,0.832367,3.339166,31000,-0.041117,-1.375077,-0.285306
s03.csv,ch_3,0.253721,0.892892,3.235637,31000,-0.226599,-1.327255,-0.259298
s03.csv,ch_4,0.261523,0.765751,4.177626,31000,-0.185888,-1.001412,-0.298060
s03.csv,ch_5,0.256155,0.638950,3.311346,31000,-0.282655,-1.671295,-0.265624
s03.csv,ch_6,0.268846,0.660803,3.411350,31000,0.180088,-1.243154,-0.261035
s03.csv,ch_7,0.252922,0.752286,3.325776,31000,-0.256076,-1.116533,-0.276204
s03.csv,ch_8,0.252401,0.844791,3.560025,31000,-0.254179,-1.278782,-0.262036
s03.csv,ch_9,0.250072,0.938691,3.521815,31000,-0.215773,-0.975475,-0.269907
s03.csv,ch_10,0.257817,0.668618,3.401064,31000,-0.059654,-1.316441,-0.278966
s03.csv,ch_11,0.248456,1.268228,3.853773,31000,-0.365179,0.290353,-0.261105
s03.csv,ch_12,0.255829,0.998369,4.999221,31000,0.248173,-0.693462,0.233873
s03.csv,ch_13,0.248724,1.021308,4.071790,31000,-0.278690,-0.720241,-0.185720
s03.csv,ch_14,0.239770,1.053807,3.826278,31000,-0.530344,-0.796386,-0.197405
s03.csv,ch_15,0.245804,1.380789,3.921766,31000,-0.410295,-0.261828,-0.167085
s03.csv,ch_16,0.252898,0.855331,3.402293,31000,-0.275619,-1.363892,-0.264931
s03.csv,ch_17,0.255257,0.925561,3.565228,31000,0.207607,-0.996002,-0.267277
s03.csv,ch_18,0.256855,1.105183,3.320523,31000,0.025213,-0.564399,-0.412548
s04.csv,ch_0,0.253238,1.297826,3.145184,31000,-0.551935,0.269459,-0.428335
s04.csv,ch_1,0.291543,1.367051,3.729972,31000,0.368269,0.337793,-0.252610
s04.csv,ch_2,0.252559,1.450340,3.137817,31000,-0.260152,1.348406,-0.302034
s04.csv,ch_3,0.260947,1.487657,3.623000,31000,0.206566,1.515902,-0.204896
s04.csv,ch_4,0.249392,1.009651,3.577553,31000,-0.517103,-0.227478,-0.323783
s04.csv,ch_5,0.266716,1.341883,3.240170,31000,-0.040187,0.716010,-0.267119
s04.csv,ch_6,0.248513,1.180564,3.325791,31000,-0.279407,0.410425,-0.267273
s04.csv,ch_7,0.257633,1.490481,3.409905,31000,-0.122810,0.640292,-0.270939
s04.csv,ch_8,0.245228,1.643569,3.358754,31000,-0.588070,2.070196,-0.304773
s04.csv,ch_9,0.242642,1.577633,3.969416,31000,-0.526513,1.622267,-0.118517
s04.csv,ch_10,0.255422,1.130492,3.212234,31000,-0.152693,0.500510,-0.303687
s04.csv,ch_11,0.251247,1.539079,3.404822,31000,-0.280156,1.165583,-0.348187
s04.csv,ch_12,0.249602,1.695655,3.237289,31000,-0.295898,1.121990,-0.317244
s04.csv,ch_13,0.243025,1.645124,4.397425,31000,-0.437718,0.860137,-0.162304
s04.csv,ch_14,0.249186,1.640930,3.590133,31000,-0.261367,0.383287,-0.222104
s04.csv,ch_15,0.267553,1.675792,3.695544,31000,0.094222,0.278988,-0.167857
s04.csv,ch_16,0.255442,1.479090,3.187859,31000,-0.050357,1.276577,-0.318505
s04.csv,ch_17,0.253948,1.537250,3.871804,31000,0.059158,1.488737,-0.096689
s04.csv,ch_18,0.257922,1.531562,3.433852,31000,0.067143,0.596404,-0.369167
s05.csv,ch_0,0.277595,1.379155,4.657606,31000,-0.090377,0.508386,-0.307854
s05.csv,ch_1,0.279168,1.185252,13.860409,31000,0.108528,-0.231575,-0.150551
s05.csv,ch_2,0.250341,1.110414,3.480251,31000,-0.347506,-0.149693,-0.273585
s05.csv,ch_3,0.272612,1.191335,3.627175,31000,0.905848,0.099393,-0.204310
s05.csv,ch_4,0.275965,1.034542,4.339473,31000,0.208374,-0.148495,-0.291122
s05.csv,ch_5,0.264372,0.853943,3.104133,31000,-0.094006,-0.941133,-0.269978
s05.csv,ch_6,0.273075,0.911323,3.603391,31000,0.275675,-0.446142,-0.247032
s05.csv,ch_7,0.367083,1.205675,4.959442,31000,2.973544,-0.037517,-0.173964
s05.csv,ch_8,0.251302,1.174232,3.687005,31000,-0.305298,0.102440,-0.235073
s05.csv,ch_9,0.254166,1.302862,3.636789,31000,-0.044585,0.505132,-0.231020
s05.csv,ch_10,0.268966,1.084966,4.393733,31000,0.373535,0.321417,-0.149008
s05.csv,ch_11,0.263535,1.446269,4.038087,31000,0.094311,0.865675,-0.225354
s05.csv,ch_12,0.250516,1.388035,4.035047,31000,-0.216034,0.321070,-0.067712
s05.csv,ch_13,0.283241,1.923297,4.209443,31000,0.684459,1.564861,-0.175821
s05.csv,ch_14,0.274985,1.962363,3.742931,31000,0.475659,1.029124,-0.206123
s05.csv,ch_15,0.256429,2.148414,3.630422,31000,-0.163835,1.145423,-0.168079
s05.csv,ch_16,0.256892,1.215158,3.442625,31000,0.078010,0.159311,-0.254854
s05.csv,ch_17,0.253271,1.246362,3.763762,31000,-0.017662,0.307120,-0.156807
s05.csv,ch_18,0.262118,1.648824,3.892520,31000,0.231963,0.915644,-0.193597
s06.csv,ch_0,0.269527,0.988327,3.236699,31000,-0.243253,-0.639783,-0.421045
s06.csv,ch_1,0.254370,0.953227,3.988892,31000,-0.411984,-0.958243,-0.250002
s06.csv,ch_2,0.244301,1.153073,4.509676,31000,-0.585489,0.038313,-0.188062
s06.csv,ch_3,0.246922,0.911929,3.224819,31000,-0.634192,-1.236250,-0.260817
s06.csv,ch_4,0.271206,0.800742,7.527033,31000,0.078448,-0.890381,-0.154478
s06.csv,ch_5,0.260133,0.796971,3.500714,31000,-0.191327,-1.134622,-0.261645
s06.csv,ch_6,0.242501,0.848889,3.154855,31000,-0.415273,-0.644772,-0.279736
s06.csv,ch_7,0.257842,0.823838,3.574867,31000,-0.116888,-0.946249,-0.260615
s06.csv,ch_8,0.252326,0.884657,3.290110,31000,-0.257643,-1.111639,-0.319349
s06.csv,ch_9,0.254136,0.848317,3.573414,31000,-0.045808,-1.342910,-0.252455
s06.csv,ch_10,0.243355,1.177577,3.097952,31000,-0.621545,0.685739,-0.318649
s06.csv,ch_11,0.250801,0.857733,3.498523,31000,-0.293732,-1.036118,-0.330012
s06.csv,ch_12,0.255414,1.046328,3.514184,31000,0.211904,-0.568597,-0.230633
s06.csv,ch_13,0.250518,0.904940,3.587198,31000,-0.228629,-1.015047,-0.220567
s06.csv,ch_14,0.235474,1.210363,3.328063,31000,-0.653060,-0.481827,-0.249515
s06.csv,ch_15,0.247538,1.047092,3.258371,31000,-0.370079,-0.873578,-0.169349
s06.csv,ch_16,0.248979,0.896732,3.176096,31000,-0.622560,-1.188633,-0.321444
s06.csv,ch_17,0.267425,0.887139,4.427707,31000,1.588116,-1.152073,0.212632
s06.csv,ch_18,0.249204,0.941816,3.574555,31000,-0.275400,-1.009159,-0.315308
s07.csv,ch_0,0.259919,1.105116,3.267715,31000,-0.425337,-0.296683,-0.418574
s07.csv,ch_1,0.273576,1.538686,3.903183,31000,-0.008846,0.875328,-0.250865
s07.csv,ch_2,0.266662,1.081860,4.581253,31000,0.295514,-0.275532,-0.182115
s07.csv,ch_3,0.255450,1.200396,5.510808,31000,-0.122954,0.142712,0.060230
s07.csv,ch_4,0.262829,0.926456,3.687173,31000,-0.150243,-0.491468,-0.319084
s07.csv,ch_5,0.254217,1.422798,4.237625,31000,-0.327135,0.990817,-0.246162
s07.csv,ch_6,0.259374,0.970562,7.979808,31000,-0.033971,-0.257680,0.072068
s07.csv,ch_7,0.238249,1.343229,3.367135,31000,-0.671173,0.289847,-0.273615
s07.csv,ch_8,0.253639,1.263489,3.623872,31000,-0.196530,0.476664,-0.248478
s07.csv,ch_9,0.248413,1.222251,6.678066,31000,-0.285155,0.177394,0.797618
s07.csv,ch_10,0.247412,0.953310,3.628476,31000,-0.463913,-0.196499,-0.249194
s07.csv,ch_11,0.248899,0.975627,3.566002,31000,-0.351703,-0.655156,-0.316923
s07.csv,ch_12,0.257904,1.180673,3.814233,31000,0.429511,-0.218817,-0.136781
s07.csv,ch_13,0.247340,1.349775,4.582455,31000,-0.317312,0.111900,-0.148998
s07.csv,ch_14,0.309645,1.327801,60.645643,31000,1.465791,-0.245866,5.745436
s07.csv,ch_15,0.249172,1.339721,5.096241,31000,-0.332160,-0.337116,-0.163078
s07.csv,ch_16,0.269980,0.990253,4.593171,31000,1.236635,-0.792747,0.032598
s07.csv,ch_17,0.256626,1.100168,5.349442,31000,0.362915,-0.286731,0.725513
s07.csv,ch_18,0.250759,1.189879,5.574922,31000,-0.214302,-0.333817,0.450399
s08.csv,ch_0,0.272998,0.936009,3.742851,31000,-0.177488,-0.793483,-0.380725
s08.csv,ch_1,0.277342,0.923876,3.179017,31000,0.070196,-1.050168,-0.258161
s08.csv,ch_2,0.258044,0.797238,3.247708,31000,-0.044028,-1.529897,-0.292904
s08.csv,ch_3,0.258042,0.890266,3.217292,31000,0.032413,-1.339804,-0.261874
s08.csv,ch_4,0.262139,0.842898,3.216739,31000,-0.169080,-0.756613,-0.339251
s08.csv,ch_5,0.267438,0.770087,3.313035,31000,-0.023613,-1.225927,-0.265588
s08.csv,ch_6,0.251935,0.723947,3.143203,31000,-0.202077,-1.042266,-0.280586
s08.csv,ch_7,0.247192,0.730176,3.247013,31000,-0.418186,-1.169154,-0.281133
s08.csv,ch_8,0.257835,0.782577,3.251327,31000,-0.001190,-1.539622,-0.327584
s08.csv,ch_9,0.249074,0.810361,3.113485,31000,-0.257532,-1.497227,-0.408015
s08.csv,ch_10,0.258349,0.770371,3.293236,31000,-0.038983,-0.916159,-0.293082
s08.csv,ch_11,0.254514,0.971005,3.232556,31000,-0.180577,-0.670092,-0.381601
s08.csv,ch_12,0.248622,0.851798,3.566256,31000,-0.381514,-1.075073,-0.214346
s08.csv,ch_13,0.250769,0.951266,3.181939,31000,-0.221632,-0.897685,-0.249709
s08.csv,ch_14,0.253599,1.105003,3.409422,31000,-0.135290,-0.693521,-0.241005
s08.csv,ch_15,0.240471,1.200538,3.353213,31000,-0.534015,-0.592273,-0.169025
s08.csv,ch_16,0.259088,0.810695,3.188227,31000,0.272397,-1.552841,-0.318413
s08.csv,ch_17,0.243462,0.857457,4.285218,31000,-1.130557,-1.272646,0.133347
s08.csv,ch_18,0.251033,0.911966,3.320335,31000,-0.203521,-1.090426,-0.412620
s09.csv,ch_0,0.287139,0.860341,4.364618,31000,0.090480,-1.015780,-0.331194
s09.csv,ch_1,0.258316,0.822136,5.437718,31000,-0.329157,-1.368803,-0.235405
s09.csv,ch_2,0.259112,0.920069,3.283667,31000,-0.001936,-0.988564,-0.289917
s09.csv,ch_3,0.256140,0.900511,3.357808,31000,-0.081615,-1.290831,-0.242140
s09.csv,ch_4,0.265247,0.957505,4.875487,31000,-0.084222,-0.392945,-0.268144
s09.csv,ch_5,0.255658,0.854041,3.690739,31000,-0.294054,-0.940802,-0.257653
s09.csv,ch_6,0.252934,0.732484,3.550999,31000,-0.179512,-1.015107,-0.250852
s09.csv,ch_7,0.261346,0.840343,3.648044,31000,-0.017758,-0.906967,-0.256035
s09.csv,ch_8,0.260657,0.890037,3.478067,31000,0.130203,-1.089081,-0.279439
s09.csv,ch_9,0.247736,0.944298,3.610972,31000,-0.313500,-0.952680,-0.239752
s09.csv,ch_10,0.262311,0.760870,3.614691,31000,0.114981,-0.953534,-0.250998
s09.csv,ch_11,0.239422,1.057073,9.053045,31000,-0.640493,-0.391970,0.747382
s09.csv,ch_12,0.251192,1.186204,3.997320,31000,-0.156947,-0.204416,-0.079513
s09.csv,ch_13,0.254893,0.995957,3.876431,31000,-0.106574,-0.784464,-0.199768
s09.csv,ch_14,0.255628,0.991312,4.519172,31000,-0.077313,-0.921953,-0.124934
s09.csv,ch_15,0.249435,1.086162,4.984123,31000,-0.326067,-0.801953,-0.163460
s09.csv,ch_16,0.266902,0.973782,3.248316,31000,0.964160,-0.862471,-0.303400
s09.csv,ch_17,0.256121,1.015104,3.484104,31000,0.305620,-0.632267,-0.312417
s09.csv,ch_18,0.251230,1.066715,4.098897,31000,-0.195805,-0.669127,-0.114599
s10.csv,ch_0,0.279831,0.949383,4.521815,31000,-0.048003,-0.754193,-0.318672
s10.csv,ch_1,0.274421,1.122747,3.352156,31000,0.008895,-0.427332,-0.256417
s10.csv,ch_2,0.257726,1.002373,3.739012,31000,-0.056558,-0.625840,-0.252088
s10.csv,ch_3,0.251475,1.045835,3.285875,31000,-0.361280,-0.596137,-0.252243
s10.csv,ch_4,0.251788,0.798199,4.034561,31000,-0.451679,-0.898449,-0.304192
s10.csv,ch_5,0.264854,0.763631,8.796988,31000,-0.082950,-1.247852,-0.150367
s10.csv,ch_6,0.240853,0.866079,3.335540,31000,-0.452534,-0.590083,-0.266562
s10.csv,ch_7,0.273564,0.842043,5.007013,31000,0.327867,-0.902921,-0.170987
s10.csv,ch_8,0.252697,1.051796,3.541549,31000,-0.240372,-0.410888,-0.265959
s10.csv,ch_9,0.250670,1.023322,3.084358,31000,-0.190790,-0.631391,-0.417866
s10.csv,ch_10,0.250841,0.766842,3.420588,31000,-0.330680,-0.930042,-0.276410
s10.csv,ch_11,0.240139,0.963750,5.283532,31000,-0.618629,-0.693536,0.016221
s10.csv,ch_12,0.239123,1.323720,4.763752,31000,-1.211469,0.153621,0.160220
s10.csv,ch_13,0.245743,1.367905,3.717815,31000,-0.361880,0.157829,-0.211174
s10.csv,ch_14,0.240444,1.535735,5.323876,31000,-0.511085,0.171924,-0.040769
s10.csv,ch_15,0.246199,1.550975,4.806417,31000,-0.401138,0.050166,-0.164067
s10.csv,ch_16,0.262817,1.006036,4.170914,31000,0.602508,-0.725933,-0.072899
s10.csv,ch_17,0.256685,0.986710,3.206150,31000,0.369652,-0.747607,-0.467079
s10.csv,ch_18,0.245305,1.369045,4.652223,31000,-0.428573,0.153955,0.097205
s11.csv,ch_0,0.256120,1.011890,3.380495,31000,-0.497323,-0.570562,-0.409590
s11.csv,ch_1,0.255980,1.203757,5.813964,31000,-0.378189,-0.173620,-0.231615
s11.csv,ch_2,0.241887,0.970981,3.532000,31000,-0.680621,-0.764190,-0.269286
s11.csv,ch_3,0.255782,0.819792,3.241993,31000,-0.103063,-1.676692,-0.258405
s11.csv,ch_4,0.274730,0.802822,5.610736,31000,0.174671,-0.883779,-0.236625
s11.csv,ch_5,0.246145,0.869216,3.306427,31000,-0.512474,-0.889265,-0.265727
s11.csv,ch_6,0.244931,0.832585,5.480780,31000,-0.360355,-0.696643,-0.110145
s11.csv,ch_7,0.227756,0.753894,7.410118,31000,-0.968043,-1.112707,-0.020593
s11.csv,ch_8,0.250267,0.746415,3.334905,31000,-0.353492,-1.691236,-0.309838
s11.csv,ch_9,0.247597,0.874199,4.004120,31000,-0.319301,-1.237682,-0.106779
s11.csv,ch_10,0.267825,0.591126,3.651405,31000,0.329222,-1.621284,-0.246192
s11.csv,ch_11,0.248245,0.762612,4.405919,31000,-0.371624,-1.343492,-0.154007
s11.csv,ch_12,0.253742,0.671566,3.805367,31000,0.065841,-1.544326,-0.139554
s11.csv,ch_13,0.254603,0.727925,3.605694,31000,-0.114660,-1.463496,-0.219237
s11.csv,ch_14,0.242708,0.845316,3.993840,31000,-0.446416,-1.215294,-0.179880
s11.csv,ch_15,0.300789,0.813330,4.781261,31000,0.865194,-1.302123,-0.164153
s11.csv,ch_16,0.253328,0.844725,3.116625,31000,-0.237547,-1.408786,-0.336302
